Format Version,1.24,Take Name,Take 2024-10-24 04.26.46 PM,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2024-10-24 04.26.47.070 PM,Capture Start Frame,161615,Total Frames in Take,1801,Total Exported Frames,1801,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014
,ID,"CE30C20AAF924411EF","CE30C20AAF924411EF","CE30C20AAF924411EF"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
459,2.550000,147.101913,67.764961,90.317093
460,2.555556,147.099808,67.764801,90.316238
461,2.561111,147.098526,67.764687,90.314178
462,2.566667,147.099884,67.765480,90.316109
463,2.572222,147.102051,67.764008,90.318108
464,2.577778,147.098373,67.766403,90.316254
465,2.583333,147.101044,67.763016,90.316704
466,2.588889,147.098938,67.762672,90.316536
467,2.594444,147.103363,67.765350,90.316559
468,2.600000,147.102493,67.765335,90.316238
469,2.605556,147.100449,67.765816,90.317177
470,2.611111,147.099167,67.764755,90.315392
471,2.616667,147.098450,67.766098,90.315750
472,2.622222,147.096313,67.763687,90.314949
473,2.627778,147.099152,67.763771,90.316895
474,2.633333,147.100616,67.763954,90.319931
475,2.638889,147.100449,67.763046,90.317726
476,2.644444,147.099640,67.767609,90.313599
477,2.650000,147.101700,67.764381,90.315002
478,2.655556,147.098282,67.764351,90.313957
479,2.661111,147.095016,67.766556,90.313950
480,2.666667,147.096130,67.763626,90.315414
481,2.672222,147.099457,67.762718,90.318588
482,2.677778,147.098068,67.765228,90.313049
483,2.683333,147.096115,67.764816,90.319458
484,2.688889,147.100937,67.766441,90.318924
485,2.694444,147.100891,67.765007,90.316582
486,2.700000,147.099243,67.768723,90.315079
487,2.705556,147.100937,67.764473,90.316360
488,2.711111,147.096710,67.764801,90.315819
489,2.716667,147.097260,67.765610,90.315735
490,2.722222,147.099533,67.764610,90.317078
491,2.727778,147.097763,67.769096,90.313438
492,2.733333,147.097839,67.763229,90.316055
493,2.738889,147.101212,67.766914,90.314865
494,2.744444,147.097168,67.764771,90.315979
495,2.750000,147.098251,67.765015,90.313637
496,2.755556,147.099792,67.763725,90.313683
497,2.761111,147.095047,67.765106,90.317497
498,2.766667,147.096985,67.763573,90.313484
499,2.772222,147.098877,67.763489,90.315155
500,2.777778,147.096634,67.765961,90.314316
501,2.783333,147.095535,67.764740,90.316696
502,2.788889,147.097214,67.763496,90.317177
503,2.794444,147.100433,67.761536,90.315468
504,2.800000,147.098969,67.765045,90.314140
505,2.805556,147.099487,67.766006,90.314079
506,2.811111,147.098495,67.761726,90.315697
507,2.816667,147.095383,67.764023,90.312859
508,2.822222,147.098083,67.767075,90.313522
509,2.827778,147.096756,67.762749,90.313507
510,2.833333,147.098663,67.765678,90.315750
511,2.838889,147.097015,67.765800,90.313438
512,2.844444,147.098984,67.761742,90.318413
513,2.850000,147.102036,67.765800,90.316299
514,2.855556,147.102081,67.764877,90.314774
515,2.861111,147.096039,67.763512,90.313011
516,2.866667,147.097946,67.764900,90.312469
517,2.872222,147.096252,67.765274,90.311279
518,2.877778,147.099442,67.764580,90.314796
519,2.883333,147.102234,67.763763,90.313560
520,2.888889,147.097687,67.766762,90.313324
521,2.894444,147.101440,67.763947,90.314522
522,2.900000,147.098251,67.763969,90.312744
523,2.905556,147.099792,67.765579,90.314659
524,2.911111,147.101364,67.764610,90.312431
525,2.916667,147.098572,67.765984,90.315941
526,2.922222,147.098038,67.766251,90.317123
527,2.927778,147.101837,67.765137,90.317101
528,2.933333,147.120163,67.775124,90.290047
529,2.938889,147.101868,67.766014,90.311615
530,2.944444,147.099030,67.765839,90.316185
531,2.950000,147.100250,67.762543,90.319199
532,2.955556,147.098877,67.762772,90.314896
533,2.961111,147.102631,67.762321,90.314606
534,2.966667,147.098846,67.765526,90.313766
535,2.972222,147.102097,67.766495,90.315758
536,2.977778,147.099426,67.763283,90.315514
537,2.983333,147.096558,67.763596,90.316925
538,2.988889,147.100708,67.765205,90.316330
539,2.994444,147.101486,67.763168,90.315918
540,3.000000,147.101440,67.763702,90.315498
541,3.005556,147.097961,67.766281,90.313034
542,3.011111,147.098267,67.764511,90.316681
543,3.016667,147.103302,67.763824,90.317390
544,3.022222,147.100037,67.763199,90.316002
545,3.027778,147.096191,67.765556,90.314537
546,3.033333,147.101273,67.762711,90.316399
547,3.038889,147.097137,67.762581,90.320702
548,3.044444,147.095963,67.763405,90.316505
549,3.050000,147.096313,67.761810,90.317566
550,3.055556,147.101868,67.760178,90.318390
551,3.061111,147.100906,67.761185,90.313972
552,3.066667,147.099197,67.760277,90.320099
553,3.072222,147.097839,67.760567,90.316513
554,3.077778,147.100998,67.761406,90.318436
555,3.083333,147.098312,67.763214,90.316933
556,3.088889,147.097305,67.761246,90.313683
557,3.094444,147.102081,67.761803,90.313942
558,3.100000,147.100906,67.765205,90.313629
559,3.105556,147.100052,67.762993,90.311134
560,3.111111,147.097122,67.764359,90.314346
561,3.116667,147.101990,67.763863,90.313278
562,3.122222,147.101257,67.763115,90.317085
563,3.127778,147.099548,67.764778,90.315025
564,3.133333,147.098343,67.766212,90.313271
565,3.138889,147.095428,67.762001,90.314262
566,3.144444,147.101898,67.761574,90.315590
567,3.150000,147.097916,67.763657,90.315361
568,3.155556,147.102448,67.762680,90.316704
